filename,meeting_id,needs_ocr,reason
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1349: weak or fallback extraction.
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1350: weak or fallback extraction.
20191016 Council Meeting Approved Minutes.pdf,244,False,Review item 1351: weak or fallback extraction.
20191106 Council Meeting Approved Minutes.pdf,245,False,Review item 1352: weak or fallback extraction.
20191106 Council Meeting Approved Minutes.pdf,245,False,Review item 1353: weak or fallback extraction.
20191106 Council Meeting Approved Minutes.pdf,245,False,Review item 1354: weak or fallback extraction.
20191106 Council Meeting Approved Minutes.pdf,245,False,Review item 1355: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1356: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1357: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1358: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1359: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1360: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1361: weak or fallback extraction.
20191120 Council Meeting Approved Minutes.pdf,246,False,Review item 1363: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1364: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1365: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1366: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1367: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1368: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1369: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1370: weak or fallback extraction.
20191204 Council Meeting Approved Minutes.pdf,247,False,Review item 1371: weak or fallback extraction.
20191218 Council Meeting Approved Minutes.pdf,248,False,Review item 1372: weak or fallback extraction.
20191218 Council Meeting Approved Minutes.pdf,248,False,Review item 1373: weak or fallback extraction.
20191218 Council Meeting Approved Minutes.pdf,248,False,Review item 1374: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1375: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1376: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1377: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1378: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1379: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1380: weak or fallback extraction.
2020-01-08 Council Meeting Approved Minutes.pdf,249,False,Review item 1381: weak or fallback extraction.
2020-01-22 Council Meeting Approved Minutes.pdf,250,False,Review item 1382: weak or fallback extraction.
2020-01-22 Council Meeting Approved Minutes.pdf,250,False,Review item 1383: weak or fallback extraction.
2020-01-22 Council Meeting Approved Minutes.pdf,250,False,Review item 1384: weak or fallback extraction.
2020-01-22 Council Meeting Approved Minutes.pdf,250,False,Review item 1385: weak or fallback extraction.
2020-01-22 Council Meeting Approved Minutes.pdf,250,False,Review item 1386: weak or fallback extraction.
